"statepuma","stab","pumaname","dem12","rep12","dem16","rep16","propR12","propR16","changeinR","changeinpropR"
"2601200","MI","Isabella, Gratiot & Clare Counties",26986,26029,21319,30723,0.490974252570027,0.590350101840821,4694,0.0993758492707936
"5151145","VA","Isle of Wight, Southampton Counties, Suffolk & Franklin Cities",40298,35851,37275,36666,0.47080066711316,0.495881851746663,815,0.0250811846335032
"4600400","SD","Jackrabbit Region",23452,34261,17271,37369,0.593644412870584,0.683912884333821,3108,0.0902684714632376
"3904900","OH","Jackson, Hocking, Pike & Vinton Counties",19443,22730,11891,30231,0.538970431318616,0.717700963866863,7501,0.178730532548247
"5400600","WV","Jackson, Wetzel, Roane, Braxton, Ritchie, Tyler, Gilmer & Calhoun Counties",13324,24737,8569,31189,0.649930374924463,0.784471049851602,6452,0.134540674927139
"1700900","IL","Jackson, Williamson, Franklin & Perry Counties",35039,43547,27404,52384,0.554131779197312,0.65653983055096,8837,0.102408051353648
"5151206","VA","James City, York Counties, Williamsburg & Poquoson Cities",37644,51041,38911,47160,0.575531375091616,0.547919740679207,-3881,-0.0276116344124098
"2902800","MO","Jasper & Newton Counties",19234,49530,15562,55623,0.720289686463847,0.781386528060687,6093,0.0610968415968396
"1800700","IN","Jasper, Starke, Fulton, Newton & Pulaski Counties",15213,24667,10509,29690,0.618530591775326,0.738575586457375,5023,0.120044994682049
"3600500","NY","Jefferson & Lewis Counties",20761,21564,16955,29163,0.509486119314826,0.632356129927577,7599,0.122870010612751
"1803000","IN","Jefferson, Jennings, Decatur & Scott Counties",16488,24874,11453,31334,0.60137324113921,0.732325238974455,6460,0.130951997835245
"1700104","IL","Jo Daviess, Carroll, Whiteside & Lee Counties",31102,27482,23472,31782,0.469104192270927,0.575198175697687,4300,0.10609398342676
"2900800","MO","Johnson, Lafayette, Ray, Clinton & Caldwell Counties",22597,37033,16483,42110,0.62104645312762,0.71868653252095,5077,0.0976400793933293
"4100800","OR","Josephine, Coos & Curry Counties",32423,44944,28201,52000,0.580919513487663,0.648370967943043,7056,0.0674514544553804
